,Database,LSTM_FCN,LSTM_FCN_NO_SHUFFLE,LSTM_TIME,LSTM_FCN_NO_SHUFFLE_TIME
78,NonInvasiveFetalECGThorax1,0.918066143989563,0.796437680721283,188,347
79,NonInvasiveFetalECGThorax2,0.9348600506782532,0.8452926278114319,188,344
80,OliveOil,0.40000003576278687,0.40000003576278687,6,9
81,OSULeaf,0.85537189245224,0.9049586653709412,20,29
82,PhalangesOutlinesCorrect,0.8018648028373718,0.7983682751655579,129,150
83,Phoneme,0.25738397240638733,0.29641351103782654,54,111
84,PickupGestureWiimoteZ,0.09999999403953552,0.09999999403953552,5,9
85,PigAirwayPressure,0.09134615212678909,0.14423076808452606,18,38
86,PigArtPressure,0.25961539149284363,0.20673076808452606,17,38
87,PigCVP,0.2163461595773697,0.1875,17,39
88,PLAID,0.06145251542329788,0.06145251542329788,67,149
89,Plane,1.0,1.0,6,8
90,PowerCons,1.0,0.9388889074325562,11,14
91,ProximalPhalanxOutlineAgeGroup,0.8341463208198547,0.8390243649482727,29,34
92,ProximalPhalanxOutlineCorrect,0.8831614851951599,0.8969072103500366,45,48
93,ProximalPhalanxTW,0.8292682766914368,0.8097561001777649,27,32
94,RefrigerationDevices,0.5093333125114441,0.5093333125114441,33,61
95,Rock,0.36000001430511475,0.3999999761581421,10,25
96,ScreenType,0.5146666765213013,0.6320000290870667,33,62
97,SemgHandGenderCh2,0.7916666865348816,0.7866666913032532,47,101
98,SemgHandMovementCh2,0.47777777910232544,0.4444444477558136,65,143
99,SemgHandSubjectCh2,0.6800000071525574,0.6733333468437195,65,143
100,ShakeGestureWiimoteZ,0.09999999403953552,0.09999999403953552,6,9
101,ShapeletSim,0.9888888597488403,0.9833333492279053,7,12
102,ShapesAll,0.8333333134651184,0.7450000047683716,54,91
103,SmallKitchenAppliances,0.7493333220481873,0.8266666531562805,35,61
104,SmoothSubspace,0.9866666793823242,0.9733333587646484,10,9
105,SonyAIBORobotSurface1,0.9317803382873535,0.9650582075119019,11,10
106,SonyAIBORobotSurface2,0.9727177619934082,0.9748163819313049,12,12
107,StarLightCurves,0.9740164875984192,0.9697668552398682,247,507
108,Strawberry,0.9594594836235046,0.9594594836235046,44,62
109,SwedishLeaf,0.9616000056266785,0.9423999786376953,35,43
110,Symbols,0.9477387070655823,0.9025125503540039,15,24
111,SyntheticControl,0.9833333492279053,0.9900000095367432,20,22
112,ToeSegmentation1,0.969298243522644,0.9473684430122375,7,10
113,ToeSegmentation2,0.8999999761581421,0.8999999761581421,8,10
114,Trace,0.9799998998641968,0.8999999761581421,7,9
115,TwoLeadECG,1.0,1.0,13,13
116,TwoPatterns,0.9942499995231628,1.0,86,113
117,UMD,0.9861111044883728,0.9861111044883728,7,8
118,UWaveGestureLibraryAll,0.9547738432884216,0.7981574535369873,145,294
119,UWaveGestureLibraryX,0.839195966720581,0.7800111770629883,93,151
120,UWaveGestureLibraryY,0.7445561289787292,0.7049134373664856,93,153
121,UWaveGestureLibraryZ,0.7822445631027222,0.7406476736068726,91,150
122,Wafer,0.9965931177139282,0.996268630027771,93,134
123,Wine,0.6111111044883728,0.6111111044883728,6,9
124,WordSynonyms,0.5971786975860596,0.43573668599128723,24,36
125,Worms,0.6753246784210205,0.649350643157959,14,27
126,WormsTwoClass,0.8051947951316833,0.7402597665786743,14,28
127,Yoga,0.8203333616256714,0.737333357334137,47,86
